544482.3061064517 , 5692043.822763878 
544447.4183122502 , 5692056.1642945465 
544441.5213802578 , 5692058.748807773 
544430.5129244924 , 5692063.2462624265 
544405.0790390447 , 5692075.392343946 
544318.41599392 , 5692120.471959438 
544303.2091790307 , 5692130.77216934 
544210.8975558918 , 5692190.185027332 
544188.2995459691 , 5692204.514369035 
544155.9150421036 , 5692224.575820424 
544139.4482176186 , 5692236.589486015 
544130.8271661989 , 5692244.36691116 
544123.1788258464 , 5692252.341830666 
544113.7556452322 , 5692265.962408169 
544106.5718421028 , 5692280.592195034 
544102.9590525909 , 5692290.325899965 
544096.9602869453 , 5692319.246313802 
544097.2444619806 , 5692340.324553529 
544099.1770999935 , 5692363.129793804 
544102.5336547092 , 5692387.8714104295 
544105.2151988636 , 5692398.104385926 
544127.6466725939 , 5692436.712959241 
544134.3437655843 , 5692446.95843303 
544165.1037121669 , 5692507.482413655 
544182.6501923358 , 5692541.088652944 
544188.825351165 , 5692552.908978934 
544191.5181109947 , 5692559.405180829 
544162.8743124141 , 5692573.693388142 
544148.8462753504 , 5692579.055046166 
544101.5991066182 , 5692597.475688338 
544063.7930135534 , 5692613.854017912 
544050.2534189239 , 5692621.511250668 
544034.4357649916 , 5692633.475236041 
544000.7247767125 , 5692645.52962608 
543984.5335715343 , 5692650.795226397 
543878.8777011296 , 5692676.5000308575 
543851.1748800545 , 5692682.701401108 
543786.0543920103 , 5692702.383838731 
543750.2773262893 , 5692712.84284819 
543720.9413806554 , 5692723.690944985 
543740.5914241065 , 5692767.879363003 
543767.0874586827 , 5692832.523934043 
543782.2539814373 , 5692869.533888722 
543788.0986999333 , 5692889.102777966 
543795.3098853432 , 5692918.915447628 
543801.7653429119 , 5692943.527767516 
543807.384311119 , 5692953.707956327 
543832.4834144169 , 5693050.327185376 
543872.1492273071 , 5693201.613080962 
543873.8223338618 , 5693201.260449386 
543896.4933195666 , 5693196.439529791 
543998.2629515526 , 5693174.727794126 
544011.7116849141 , 5693172.586066501 
544028.3662269618 , 5693169.081813598 
544033.4596053935 , 5693175.576413741 
544039.9209529262 , 5693177.567377008 
544073.5666418857 , 5693177.51314194 
544111.4115070455 , 5693177.906939778 
544141.6850552293 , 5693179.136372043 
544157.5064116839 , 5693177.838569727 
544191.5591864116 , 5693171.760618543 
544218.6937470415 , 5693164.232703069 
544223.2120774093 , 5693162.381158748 
544234.7414029033 , 5693157.709852517 
544295.2640344746 , 5693134.95701052 
544340.6239204494 , 5693117.022285346 
544345.1765492888 , 5693115.23787686 
544398.7896999505 , 5693096.5301477155 
544407.3628112521 , 5693094.146839393 
544417.1559037183 , 5693094.710323606 
544433.0155013301 , 5693097.8513059225 
544470.5809871373 , 5693109.611817185 
544484.497806563 , 5693119.275652547 
544493.9821569689 , 5693126.509680288 
544500.997668679 , 5693133.566486318 
544530.3310634674 , 5693178.75455107 
544532.8206779383 , 5693187.707098152 
544537.3886014175 , 5693200.114429715 
544555.1642677666 , 5693237.194062128 
544577.1428020623 , 5693266.291653308 
544580.0903902353 , 5693270.599308459 
544603.271050737 , 5693299.062456901 
544602.5971432296 , 5693274.266032436 
544600.9064151285 , 5693259.915228313 
544598.4407185075 , 5693241.876329109 
544593.5868443 , 5693212.04967501 
544591.629535346 , 5693199.531645639 
544589.0425452609 , 5693184.216538351 
544589.2700151299 , 5693139.875847643 
544586.2423253674 , 5693108.096606511 
544576.3163781964 , 5693041.501428756 
544568.9085641085 , 5693017.213405949 
544560.1015032916 , 5692973.850390383 
544552.0477675276 , 5692941.426712546 
544548.5385251376 , 5692916.138440959 
544548.4431453968 , 5692903.9481045315 
544556.7457918547 , 5692877.59518074 
544562.9449058253 , 5692855.450186039 
544564.6092880835 , 5692817.0722372485 
544564.880495012 , 5692812.314471778 
544564.8813943402 , 5692791.494454038 
544566.3538147936 , 5692760.755514585 
544564.6435621899 , 5692743.82430803 
544562.2788307216 , 5692718.957538521 
544562.1107185694 , 5692701.550442648 
544567.8264496179 , 5692671.827285087 
544571.8107082398 , 5692651.509179818 
544574.6789553926 , 5692637.854412616 
544576.2179001941 , 5692632.17349133 
544578.0447258534 , 5692625.405148433 
544580.5045390911 , 5692616.284513346 
544586.7061628364 , 5692592.30447459 
544588.6674709916 , 5692585.281509033 
544595.4480952345 , 5692581.859636745 
544601.6955080049 , 5692582.114430559 
544638.7172309542 , 5692596.763038602 
544647.1092012653 , 5692597.692835423 
544653.196195407 , 5692597.190006108 
544658.1113603349 , 5692595.397920696 
544663.6481165255 , 5692591.765060359 
544678.9970370362 , 5692573.114692352 
544688.6863609927 , 5692560.209264945 
544717.7188985079 , 5692526.36413205 
544722.057447813 , 5692518.90605371 
544722.5123784123 , 5692513.849617819 
544721.1812236321 , 5692507.709835464 
544718.6356180747 , 5692502.7605663035 
544708.5899434731 , 5692493.563784099 
544703.2524632709 , 5692487.144228843 
544700.4651235695 , 5692480.391118937 
544701.3386117261 , 5692474.426359911 
544705.7604641593 , 5692459.050271144 
544710.2313781825 , 5692440.46041388 
544710.8616159947 , 5692438.430644989 
544727.2840120979 , 5692391.073318 
544734.6412852627 , 5692370.34002809 
544736.6149119267 , 5692358.76840695 
544738.5309494087 , 5692325.18622806 
544740.7859679778 , 5692275.168995337 
544741.4214319381 , 5692260.638367603 
544745.5701400802 , 5692159.75549252 
544746.8971284836 , 5692127.4805336585 
544749.612632792 , 5692061.474204641 
544750.2111662818 , 5692048.778355519 
544730.1035601972 , 5692047.923660998 
544715.9628407464 , 5692048.433692543 
544684.3284855892 , 5692050.8258633865 
